strain	isotype	release	isotype_ref_strain	wgs_seq
BRC20391	BRC20391	20210901	TRUE	TRUE
BRC20400	BRC20400	20210901	TRUE	TRUE
BRC20464	BRC20464	20210901	TRUE	TRUE
BRC20548	BRC20548	20210901	TRUE	TRUE
ECA1299	ECA1299	20210901	TRUE	TRUE
ECA1300	ECA1300	20210901	TRUE	TRUE
ECA1301	ECA1301	20210901	TRUE	TRUE
ECA1302	ECA1302	20210901	TRUE	TRUE
ECA1303	ECA1303	20210901	TRUE	TRUE
ECA1304	ECA1304	20210901	TRUE	TRUE
ECA1305	ECA1305	20210901	TRUE	TRUE
ECA1306	ECA1306	20210901	TRUE	TRUE
ECA1307	ECA1307	20210901	TRUE	TRUE
ECA1309	ECA1306	20210901	FALSE	TRUE
ECA1310	ECA1310	20210901	TRUE	TRUE
ECA1311	ECA1311	20210901	TRUE	TRUE
ECA1312	ECA1312	20210901	TRUE	TRUE
ECA1401	ECA1401	20210901	TRUE	TRUE
ECA1403	ECA1403	20210901	TRUE	TRUE
ECA1405	ECA1405	20210901	TRUE	TRUE
ECA1445	ECA1445	20210901	TRUE	TRUE
ECA1447	ECA1447	20210901	TRUE	TRUE
ECA1449	ECA1449	20210901	TRUE	TRUE
ECA1451	ECA1451	20210901	TRUE	TRUE
ECA1453	ECA1453	20210901	TRUE	TRUE
ECA1481	ECA1481	20210901	TRUE	TRUE
ECA1518	ECA1518	20210901	TRUE	TRUE
ECA1579	ECA1579	20210901	TRUE	TRUE
ECA1581	ECA1581	20210901	TRUE	TRUE
ECA1583	ECA1583	20210901	TRUE	TRUE
ECA1585	ECA1585	20210901	TRUE	TRUE
ECA1599	ECA1599	20210901	TRUE	TRUE
ECA1603	ECA1603	20210901	TRUE	TRUE
ECA2087	ECA2087	20210901	TRUE	TRUE
ECA788	ECA788	20210901	TRUE	TRUE
ECA789	ECA789	20210901	TRUE	TRUE
ECA790	ECA790	20210901	TRUE	TRUE
ECA791	ECA791	20210901	TRUE	TRUE
ECA792	ECA792	20210901	TRUE	TRUE
ECA793	ECA793	20210901	TRUE	TRUE
ECA794	ECA794	20210901	TRUE	TRUE
ECA795	ECA799	20210901	FALSE	TRUE
ECA796	ECA796	20210901	TRUE	TRUE
ECA797	ECA797	20210901	TRUE	TRUE
ECA798	ECA798	20210901	TRUE	TRUE
ECA799	ECA799	20210901	TRUE	TRUE
ECA800	ECA800	20210901	TRUE	TRUE
ECA801	ECA801	20210901	TRUE	TRUE
ECA802	ECA802	20210901	TRUE	TRUE
ECA803	ECA803	20210901	TRUE	TRUE
ECA804	ECA804	20210901	TRUE	TRUE
