strain	isotype	release	isotype_ref_strain	wgs_seq
AB1	AB1	20160408	TRUE	TRUE
AB4	CB4858	20160408	FALSE	TRUE
BRC20067	BRC20067	20160408	TRUE	TRUE
BRC20113	BRC20067	20170531	FALSE	TRUE
BRC20231	MY23	20170531	FALSE	TRUE
BRC20263	BRC20263	20170531	TRUE	TRUE
CB4852	CB4852	20160408	TRUE	TRUE
CB4854	CB4854	20160408	TRUE	TRUE
CB4856	CB4856	20160408	TRUE	TRUE
CB4932	CB4932	20160408	TRUE	TRUE
CX11254	CX11254	20160408	TRUE	TRUE
CX11262	CX11262	20160408	TRUE	TRUE
CX11264	CX11264	20160408	TRUE	TRUE
CX11271	CX11271	20160408	TRUE	TRUE
CX11276	CX11276	20160408	TRUE	TRUE
CX11285	CX11285	20160408	TRUE	TRUE
CX11292	CX11292	20160408	TRUE	TRUE
CX11307	CX11307	20160408	TRUE	TRUE
CX11314	CX11314	20160408	TRUE	TRUE
CX11315	CX11315	20160408	TRUE	TRUE
DL200	DL200	20160408	TRUE	TRUE
DL226	DL226	20160408	TRUE	TRUE
DL238	DL238	20160408	TRUE	TRUE
ECA1069	ECA1069	20200815	TRUE	TRUE
ECA1070	ECA1074	20200815	FALSE	TRUE
ECA1071	ECA1074	20200815	FALSE	TRUE
ECA1072	ECA1074	20200815	FALSE	TRUE
ECA1073	ECA1074	20200815	FALSE	TRUE
ECA1074	ECA1074	20200815	TRUE	TRUE
ECA1184	ECA1185	20210121	FALSE	TRUE
ECA1185	ECA1185	20200815	TRUE	TRUE
ECA1186	ECA1186	20200815	TRUE	TRUE
ECA1187	ECA1187	20210121	TRUE	TRUE
ECA1188	ECA1187	20210121	FALSE	TRUE
ECA1189	ECA1187	20210121	FALSE	TRUE
ECA1190	ECA1187	20210121	FALSE	TRUE
ECA1191	ECA1191	20200815	TRUE	TRUE
ECA1192	ECA1192	20210121	TRUE	TRUE
ECA1193	ECA1193	20200815	TRUE	TRUE
ECA1194	ECA1194	20200815	TRUE	TRUE
ECA1195	ECA1195	20200815	TRUE	TRUE
ECA1196	ECA1196	20210121	TRUE	TRUE
ECA1197	ECA1237	20210121	FALSE	TRUE
ECA1198	ECA1237	20210121	FALSE	TRUE
ECA1199	ECA1238	20210121	FALSE	TRUE
ECA1200	ECA1200	20210121	TRUE	TRUE
ECA1201	ECA1202	20200815	FALSE	TRUE
ECA1202	ECA1202	20210121	TRUE	TRUE
ECA1203	ECA1208	20200815	FALSE	TRUE
ECA1204	ECA1208	20210121	FALSE	TRUE
ECA1205	ECA1208	20200815	FALSE	TRUE
ECA1206	ECA1206	20210121	TRUE	TRUE
ECA1207	ECA1208	20210121	FALSE	TRUE
ECA1208	ECA1208	20200815	TRUE	TRUE
