group	strain	isotype	latitude	longitude	coverage	unique_isotypes_per_group	unique_groups_per_isotype	strain_in_multiple_isotypes	location_issue	strain_conflict
1	BRC20069	NA	25.04655556	121.6149472	19.211262	0	598	FALSE	FALSE	TRUE
2	BRC20073	NA	25.04655556	121.6149472	151.307034	0	598	FALSE	FALSE	TRUE
3	BRC20075	NA	24.790015	121.374604	29.747918	0	598	FALSE	FALSE	TRUE
4	BRC20076	NA	24.790015	121.374604	24.28303	0	598	FALSE	FALSE	TRUE
4	BRC20086	NA	24.793571	121.364232	27.02464	0	598	FALSE	FALSE	TRUE
4	BRC20247	NA	23.60117861	120.8825369	21.010148	0	598	FALSE	FALSE	TRUE
4	BRC20390	NA	25.027105	121.576542	106.88873	0	598	FALSE	FALSE	TRUE
4	BRC20408	NA	25.027105	121.576542	20.588322	0	598	FALSE	FALSE	TRUE
4	BRC20462	NA	24.822658	121.735926	18.36636	0	598	FALSE	FALSE	TRUE
4	NIC1629	NA	25.02782	121.57627	33.405298	0	598	FALSE	FALSE	TRUE
4	NIC826	NA	23.60246	120.88278	45.584464	0	598	FALSE	FALSE	TRUE
4	NIC876	NA	25.16765	121.56299	24.609422	0	598	FALSE	FALSE	TRUE
4	NIC877	NA	25.16765	121.56299	18.101992	0	598	FALSE	FALSE	TRUE
4	NIC884	NA	23.60255	120.88322	14.67657	0	598	FALSE	FALSE	TRUE
5	BRC20077	NA	24.793571	121.364232	23.32239	0	598	FALSE	FALSE	TRUE
6	BRC20081	NA	24.602334	121.510549	25.527716	0	598	FALSE	FALSE	TRUE
7	BRC20085	NA	24.794443	121.364029	29.147196	0	598	FALSE	FALSE	TRUE
8	BRC20088	NA	25.15533333	121.5465611	22.689868	0	598	FALSE	FALSE	TRUE
9	BRC20089	NA	25.15533333	121.5465611	25.193784	0	598	FALSE	FALSE	TRUE
10	BRC20090	NA	24.744819	121.747742	18.012586	0	598	FALSE	FALSE	TRUE
11	BRC20092	NA	25.016437	121.540237	32.085366	0	598	FALSE	FALSE	TRUE
12	BRC20093	NA	23.94991389	121.5518917	17.021934	0	598	FALSE	FALSE	TRUE
13	BRC20095	NA	24.74725	121.746266	27.810028	0	598	FALSE	FALSE	TRUE
14	BRC20096	NA	25.04372222	121.6160639	21.93941	0	598	FALSE	FALSE	TRUE
15	BRC20098	NA	25.04372222	121.6160639	24.54476	0	598	FALSE	FALSE	TRUE
16	BRC20099	NA	25.043399	121.616268	28.70612	0	598	FALSE	FALSE	TRUE
