strain	bam	bai
BRC20391	BRC20391.bam	BRC20391.bam.bai
BRC20400	BRC20400.bam	BRC20400.bam.bai
BRC20464	BRC20464.bam	BRC20464.bam.bai
BRC20548	BRC20548.bam	BRC20548.bam.bai
ECA1299	ECA1299.bam	ECA1299.bam.bai
ECA1300	ECA1300.bam	ECA1300.bam.bai
ECA1301	ECA1301.bam	ECA1301.bam.bai
ECA1302	ECA1302.bam	ECA1302.bam.bai
ECA1303	ECA1303.bam	ECA1303.bam.bai
ECA1304	ECA1304.bam	ECA1304.bam.bai
ECA1305	ECA1305.bam	ECA1305.bam.bai
ECA1306	ECA1306.bam	ECA1306.bam.bai
ECA1307	ECA1307.bam	ECA1307.bam.bai
ECA1310	ECA1310.bam	ECA1310.bam.bai
ECA1311	ECA1311.bam	ECA1311.bam.bai
ECA1312	ECA1312.bam	ECA1312.bam.bai
ECA1401	ECA1401.bam	ECA1401.bam.bai
ECA1403	ECA1403.bam	ECA1403.bam.bai
ECA1405	ECA1405.bam	ECA1405.bam.bai
ECA1445	ECA1445.bam	ECA1445.bam.bai
ECA1447	ECA1447.bam	ECA1447.bam.bai
ECA1449	ECA1449.bam	ECA1449.bam.bai
ECA1451	ECA1451.bam	ECA1451.bam.bai
ECA1453	ECA1453.bam	ECA1453.bam.bai
ECA1481	ECA1481.bam	ECA1481.bam.bai
ECA1518	ECA1518.bam	ECA1518.bam.bai
ECA1579	ECA1579.bam	ECA1579.bam.bai
ECA1581	ECA1581.bam	ECA1581.bam.bai
ECA1583	ECA1583.bam	ECA1583.bam.bai
ECA1585	ECA1585.bam	ECA1585.bam.bai
ECA1599	ECA1599.bam	ECA1599.bam.bai
ECA1603	ECA1603.bam	ECA1603.bam.bai
ECA2087	ECA2087.bam	ECA2087.bam.bai
ECA788	ECA788.bam	ECA788.bam.bai
ECA789	ECA789.bam	ECA789.bam.bai
ECA790	ECA790.bam	ECA790.bam.bai
ECA791	ECA791.bam	ECA791.bam.bai
ECA792	ECA792.bam	ECA792.bam.bai
ECA793	ECA793.bam	ECA793.bam.bai
ECA794	ECA794.bam	ECA794.bam.bai
ECA796	ECA796.bam	ECA796.bam.bai
ECA797	ECA797.bam	ECA797.bam.bai
ECA798	ECA798.bam	ECA798.bam.bai
ECA799	ECA799.bam	ECA799.bam.bai
ECA800	ECA800.bam	ECA800.bam.bai
ECA801	ECA801.bam	ECA801.bam.bai
ECA802	ECA802.bam	ECA802.bam.bai
ECA803	ECA803.bam	ECA803.bam.bai
ECA804	ECA804.bam	ECA804.bam.bai
ECA805	ECA805.bam	ECA805.bam.bai
ECA806	ECA806.bam	ECA806.bam.bai
EG5889	EG5889.bam	EG5889.bam.bai
EG6180	EG6180.bam	EG6180.bam.bai
JU1373	JU1373.bam	JU1373.bam.bai
JU1374	JU1374.bam	JU1374.bam.bai
JU1428	JU1428.bam	JU1428.bam.bai
JU1630	JU1630.bam	JU1630.bam.bai
JU1631	JU1631.bam	JU1631.bam.bai
JU1632	JU1632.bam	JU1632.bam.bai
JU1633	JU1633.bam	JU1633.bam.bai
JU1634	JU1634.bam	JU1634.bam.bai
JU1635	JU1635.bam	JU1635.bam.bai
JU1636	JU1636.bam	JU1636.bam.bai
