isotype	mean_length
AB1	188.384
BRC20067	114.4665
BRC20263	131.029
CB4851	291.623
CB4852	175.569
CB4853	157.3365
CB4854	178.05
CB4855	776.782
CB4856	262.276
CB4857	265.732
CB4858	803.276
CB4932	208.726
CX11254	293.954
CX11262	214.774
CX11264	826.012
CX11271	370.95
CX11276	238.98
CX11285	147.393
CX11292	679.344
CX11307	135.707
CX11314	471.197
CX11315	1026.54
DL200	133.738
DL226	145.521
DL238	1013.66
ECA1069	146.965
ECA1074	120.49571999999999
ECA1185	172.505
ECA1186	186.729
ECA1187	178.0595
ECA1191	171.385
ECA1192	173.38
ECA1193	164.512
ECA1194	186.798
ECA1195	173.851
ECA1196	180.221
ECA1200	201.591
ECA1202	164.8225
ECA1206	312.55475
ECA1208	195.1218
ECA1212	190.31
ECA1216	158.29625
ECA1223	171.1225
ECA1225	175.42025
ECA1228	168.672
ECA1229	159.6664
ECA1232	187.975
ECA1237	172.35583333333332
ECA1238	180.312
ECA1240	186.189
ECA1242	160.098
ECA1243	182.537
ECA1247	219.45374999999999
ECA1251	187.33999999999997
ECA1252	198.444
ECA1253	168.465
ECA1255	194.29966666666667
ECA1257	172.17433333333332
ECA1260	187.89350000000002
ECA1261	179.577
ECA1269	160.47333333333333
ECA1271	166.328
ECA1276	151.4965
ECA1278	159.498
ECA1281	222.0774
ECA1283	224.339
ECA1284	238.4555
ECA1286	173.817
ECA1287	192.076
ECA1288	196.58133333333333
ECA1289	185.315
ECA1293	171.2495
ECA1298	197.8032
ECA1316	267.679
ECA1409	128.062
ECA1413	173.36675
ECA1493	151.76825
ECA1693	400.873
ECA1713	212.158
ECA1717	223.561
ECA1725	146.093
ECA1751	354.1837777777778
ECA1757	188.10175
ECA1761	172.589
ECA1769	206.46694
ECA1793	161.101
ECA1805	366.372
ECA1807	240.125
ECA1815	273.4001666666667
ECA1821	247.11849999999998
ECA1825	269.51835
ECA1843	120.98268
ECA1851	396.8485
ECA1853	230.16716666666667
ECA1875	405.7506666666667
ECA1885	296.7605
ECA1887	242.7645
ECA1889	320.505
ECA189	306.902
ECA1891	173.925
ECA1901	333.012
ECA191	219.639
ECA1919	269.05008333333336
ECA1925	250.467
ECA1937	286.893
ECA1939	556.6153333333333
ECA1943	452.431
ECA1969	159.57
ECA1977	217.767
ECA1997	249.218
ECA2041	247.684
ECA2043	286.486
ECA2073	326.304
ECA2081	318.4958
ECA2091	196.058125
ECA2109	195.342
ECA2111	242.9436
ECA2119	177.173
ECA2151	214.3605
ECA2155	206.485
ECA2159	225.35725
ECA2183	141.182
ECA2187	168.7635
ECA2191	164.556
ECA2195	130.3128
ECA2199	226.066
ECA2251	510.723
ECA2281	207.4022
ECA2291	150.283
ECA2332	371.98975
ECA2334	433.29650000000004
ECA2336	174.94544444444443
ECA2344	350.5615
ECA2350	245.14466666666667
ECA2360	236.7962
ECA2367	112.947
ECA2377	179.55033333333333
ECA2417	218.95933333333335
ECA2437	201.139
ECA2443	169.97516666666667
ECA2452	170.454
ECA2467	235.934
ECA2473	209.34675
ECA2475	145.5639
ECA2481	222.352
ECA2482	292.0316666666667
ECA2489	365.4025
ECA2522	218.969
ECA2523	179.0895
ECA2527	208.89100000000002
ECA2529	271.147
ECA2533	227.389
ECA2536	250.23666666666668
ECA2546	143.98266666666666
ECA2549	184.205
ECA2551	167.62785714285715
ECA2554	170.71
ECA2555	166.599
ECA2559	240.87966666666668
ECA2560	176.048
ECA2561	160.14079999999998
ECA2565	180.16666666666669
ECA2568	171.8
ECA2581	243.12325
ECA2583	184.3
ECA2584	176.064
ECA2594	180.34300000000002
ECA2595	179.079
ECA2601	299.49933333333337
ECA2602	408.648
ECA2603	171.638125
ECA2607	253.961
ECA2609	228.63225
ECA2612	471.145
ECA2615	160.934
ECA2641	159.89866666666666
ECA2648	245.468
ECA2656	542.755
ECA2659	239.635
ECA2660	208.244
ECA2672	189.98616666666666
ECA2676	154.4975
ECA347	234.945
ECA348	295.74466666666666
ECA349	478.318
ECA36	377.661
ECA363	148.5005
ECA369	838.442
ECA372	224.632
ECA396	239.96175
ECA592	78.5206
ECA593	331.307
ECA594	128.076
ECA640	297.61
ECA701	179.56400000000002
ECA703	377.118
ECA705	166.74450000000002
ECA706	155.953
ECA710	162.126
ECA712	244.7602
ECA722	136.981
ECA723	175.57366666666667
ECA724	220.191
ECA730	234.545
ECA732	170.152
ECA733	183.098
ECA738	172.7066
ECA740	57.2268
ECA741	145.668
ECA742	136.279
ECA743	166.817
ECA744	175.18099999999998
ECA745	153.1645
ECA746	226.522
ECA760	221.43182352941176
ECA768	146.1935
ECA777	248.311
ECA778	242.24593333333334
ECA807	192.52383333333333
ECA812	188.28404347826086
ECA923	143.8632
ECA928	357.567
ECA930	296.672
ED3005	138.365
ED3011	781.674
ED3012	467.155
ED3017	279.65
ED3040	154.702
ED3046	265.927
ED3048	215.438
ED3049	607.784
ED3052	91.6412
ED3073	132.25096666666667
ED3077	147.392
EG4347	337.045
EG4349	108.425
EG4724	406.606
EG4725	224.705
EG4946	272.077
GXW1	131.089
JR4305	241.505
JT11398	578.381
JU1088	293.626
JU1172	330.906
JU1200	224.29899999999998
JU1212	185.573
JU1213	126.8576
JU1242	137.88
JU1246	152.558
JU1249	185.489
JU1395	137.89600000000002
JU1400	93.8886
JU1409	214.895
JU1440	151.102
JU1491	149.683
JU1530	165.05540000000002
JU1543	223.569
JU1568	188.573
JU1581	126.00012
JU1586	238.277
JU1652	279.191
JU1666	143.78975
