strain	length_estimate	isotype	release	isotype_ref_strain	wgs_seq
AB1	188.384	AB1	20160408	TRUE	TRUE
AB4	808.118	CB4858	20160408	FALSE	TRUE
BRC20067	121.403	BRC20067	20160408	TRUE	TRUE
BRC20113	107.53	BRC20067	20170531	FALSE	TRUE
BRC20231	68.8761	MY23	20170531	FALSE	TRUE
BRC20263	131.029	BRC20263	20170531	TRUE	TRUE
CB4852	175.569	CB4852	20160408	TRUE	TRUE
CB4854	178.05	CB4854	20160408	TRUE	TRUE
CB4856	262.276	CB4856	20160408	TRUE	TRUE
CB4932	208.726	CB4932	20160408	TRUE	TRUE
CX11254	293.954	CX11254	20160408	TRUE	TRUE
CX11262	214.774	CX11262	20160408	TRUE	TRUE
CX11264	826.012	CX11264	20160408	TRUE	TRUE
CX11271	370.95	CX11271	20160408	TRUE	TRUE
CX11276	238.98	CX11276	20160408	TRUE	TRUE
CX11285	147.393	CX11285	20160408	TRUE	TRUE
CX11292	679.344	CX11292	20160408	TRUE	TRUE
CX11307	135.707	CX11307	20160408	TRUE	TRUE
CX11314	471.197	CX11314	20160408	TRUE	TRUE
CX11315	1026.54	CX11315	20160408	TRUE	TRUE
DL200	133.738	DL200	20160408	TRUE	TRUE
DL226	145.521	DL226	20160408	TRUE	TRUE
DL238	1013.66	DL238	20160408	TRUE	TRUE
ECA1069	146.965	ECA1069	20200815	TRUE	TRUE
ECA1070	174.082	ECA1074	20200815	FALSE	TRUE
ECA1071	107.692	ECA1074	20200815	FALSE	TRUE
ECA1072	99.6476	ECA1074	20200815	FALSE	TRUE
ECA1073	110.184	ECA1074	20200815	FALSE	TRUE
ECA1074	110.873	ECA1074	20200815	TRUE	TRUE
ECA1184	180.965	ECA1185	20210121	FALSE	TRUE
ECA1185	164.045	ECA1185	20200815	TRUE	TRUE
ECA1186	186.729	ECA1186	20200815	TRUE	TRUE
ECA1187	174.2	ECA1187	20210121	TRUE	TRUE
ECA1188	188.4	ECA1187	20210121	FALSE	TRUE
ECA1189	177.104	ECA1187	20210121	FALSE	TRUE
ECA1190	172.534	ECA1187	20210121	FALSE	TRUE
ECA1191	171.385	ECA1191	20200815	TRUE	TRUE
ECA1192	173.38	ECA1192	20210121	TRUE	TRUE
ECA1193	164.512	ECA1193	20200815	TRUE	TRUE
ECA1194	186.798	ECA1194	20200815	TRUE	TRUE
ECA1195	173.851	ECA1195	20200815	TRUE	TRUE
ECA1196	180.221	ECA1196	20210121	TRUE	TRUE
ECA1197	178.017	ECA1237	20210121	FALSE	TRUE
ECA1198	183.017	ECA1237	20210121	FALSE	TRUE
ECA1199	177.928	ECA1238	20210121	FALSE	TRUE
ECA1200	201.591	ECA1200	20210121	TRUE	TRUE
ECA1201	163.518	ECA1202	20200815	FALSE	TRUE
ECA1202	166.127	ECA1202	20210121	TRUE	TRUE
ECA1203	195.435	ECA1208	20200815	FALSE	TRUE
ECA1204	201.594	ECA1208	20210121	FALSE	TRUE
ECA1205	182.769	ECA1208	20200815	FALSE	TRUE
ECA1206	157.683	ECA1206	20210121	TRUE	TRUE
ECA1207	205.078	ECA1208	20210121	FALSE	TRUE
ECA1208	190.733	ECA1208	20200815	TRUE	TRUE
ECA1209	212.972	ECA1212	20210121	FALSE	TRUE
ECA1210	184.083	ECA744	20210121	FALSE	TRUE
ECA1211	194.319	ECA1212	20210121	FALSE	TRUE
