group	mean_length	sd
1	6	NA
2	5	NA
3	2	NA
4	3	1
5	10	NA
6	4	NA
7	4	NA
8	8	NA
9	4	NA
10	5	NA
11	3	NA
12	7	NA
13	3	NA
14	8	NA
15	5	NA
16	7	NA
17	10	NA
18	5	NA
19	7	NA
20	2	NA
21	8	1
22	6	2
23	6	3
24	4	1
25	6	2
26	3	NA
27	4	NA
28	4	1
29	6	2
30	3	NA
31	3	NA
32	6	NA
33	8	1
34	7	NA
35	10	1
36	4	NA
37	5	NA
38	8	1
39	7	NA
40	9	NA
41	12	0
42	6	NA
43	8	NA
44	4	NA
45	4	NA
46	3	NA
47	5	NA
48	2	NA
49	5	NA
50	4	4
51	5	NA
52	5	NA
53	9	NA
54	6	NA
55	4	NA
56	9	NA
57	9	NA
58	7	NA
59	6	NA
60	6	NA
61	4	1
62	3	1
63	8	NA
64	5	NA
65	5	NA
66	5	NA
67	5	1
68	6	NA
69	4	1
70	3	NA
71	5	NA
72	6	NA
73	3	NA
74	4	NA
75	3	NA
76	5	NA
77	4	NA
78	5	NA
79	8	NA
80	5	NA
81	6	1
82	4	NA
83	5	NA
84	4	NA
85	4	NA
86	7	NA
87	4	1
88	5	1
89	5	1
90	4	NA
91	5	NA
92	5	1
93	5	1
94	2	1
95	5	NA
96	3	1
97	5	NA
98	5	1
99	3	2
100	5	3
101	10	NA
102	6	NA
103	8	1
104	4	NA
105	3	NA
106	5	1
107	5	NA
108	6	2
109	8	6
110	3	NA
111	7	3
112	3	NA
113	5	3
114	7	7
115	7	NA
116	3	NA
117	5	NA
118	3	NA
119	5	NA
120	4	1
121	5	NA
122	5	NA
123	5	1
124	8	NA
125	8	1
126	12	6
127	12	NA
128	5	3
129	2	1
130	4	NA
131	10	2
132	4	NA
133	4	1
134	9	NA
135	4	NA
136	3	NA
137	4	NA
138	3	NA
139	5	NA
140	6	NA
141	5	1
142	12	6
143	6	3
144	4	NA
145	6	2
146	4	0
147	12	1
148	4	1
149	7	3
150	5	NA
151	5	NA
152	6	NA
153	9	NA
154	5	NA
155	2	1
156	8	1
157	4	0
158	4	0
159	3	NA
160	5	NA
161	3	0
162	2	NA
163	3	NA
164	5	NA
165	8	NA
166	5	1
167	6	1
168	2	1
169	4	1
170	4	NA
171	4	NA
172	6	1
173	5	2
174	4	NA
175	6	NA
176	5	NA
