strain	brigg_length_estimate
ECA344	3
NIC65	5
BRC20103	7
QG4028	2
QG2685	4
XZ1207	4
QG2689	6
QG936	10
ECA2614	3
JU4080	4
NIC1267	5
JU2861	6
BRC20102	5
JU1041	8
QG2669	9
NIC301	7
QG1107	6
JU1561	8
BRC20367	4
NIC1138	3
QG3043	3
BRC20256	7
QG1120	4
BRC20541	5
NIC83	4
ECA2663	5
VT847	4
QG1151	4
QG107	5
QG767	4
QG4210	3
ED3096	4
JU1468	8
NIC186	4
QG944	16
JU1378	5
BRC20499	4
BRC20254	5
JU1992	5
QG4064	4
NIC896	4
JU2792	7
JU1914	3
NIC984	5
JU1261	8
NIC900	5
NIC871	5
NIC66	6
NIC1663	3
JU2590	7
BRC20532	4
NIC358	5
TWN3077	5
QG939	15
QG773	5
JU2618	6
QG3866	5
QG829	5
QG948	12
QG2731	5
NIC1610	6
JU2457	6
QG4231	4
QG3858	4
QX1803	5
ECA280	7
QG803	5
QG2666	6
QG746	4
NIC888	4
ECA2493	1
NIC863	3
JU2164	10
JU4099	4
QG927	14
QG2972	11
QG2814	7
NIC100	4
ED3036	8
NIC1485	7
ECA1173	8
NIC1394	9
QG3879	4
ECA1384	5
QG587	8
NIC902	4
QG3931	10
JU2531	6
QG3003	9
ECA1177	5
BRC20081	4
ECA1157	2
NIC796	5
QG3034	10
NIC1661	4
QG813	4
NIC998	6
EG6272	3
QG2996	9
QG859	5
ECA2619	7
QG826	7
NIC1632	4
NIC1220	4
ECA1479	4
JU4064	8
MY945	5
ECA1383	5
QG949	3
NIC169	9
MY727	5
QG2752	5
NIC1296	5
NIC510	5
NIC22	8
ECA2629	5
JU1424	4
NIC327	6
ECA2667	5
ECA1513	6
ECA1477	1
ECA2664	6
JU2783	8
NIC1048	7
QG2621	9
BRC20244	6
QG995	7
JU1564	7
QG1109	9
QG860	5
GUN124	11
QG4031	3
NIC1060	3
QG759	10
QG983	11
QG979	5
QX1797	5
QX1796	6
QX1410	6
QG2647	7
NIC1590	5
ECA1495	3
NIC1418	9
NIC1645	3
BRC20500	2
NIC180	6
QG2781	10
QG937	10
QG113	4
BRC20241	7
