ctrop_strain	length_estimate
BRC20400	11
NIC550	11
JU1634	12
NIC938	8
NIC536	9
NIC1646	9
NIC374	9
QG3877	14
QG3812	11
NIC1137	11
NIC749	13
NIC588	12
NIC114	10
NIC575	10
NIC382	11
NIC1381	11
NIC1337	10
NIC441	11
NIC1976	11
QG3821	8
NIC1930	14
QG3872	10
QG3526	15
NIC1166	8
QG850	10
NIC1477	11
QG3838	9
NIC972	9
NIC1556	7
NIC1551	8
JU1631	13
NIC1354	11
EG5889	8
NIC748	10
NIC591	11
NIC469	26
NIC1644	10
QG2772	15
NIC941	7
NIC1940	12
QG3514	10
NIC122	9
NIC945	9
NIC1328	8
NIC751	14
NIC567	13
JU1872	10
QG2697	10
QG3790	8
JU1871	12
NIC946	11
NIC1116	9
NIC99	10
QG2898	10
ECA1301	8
NIC1393	11
QG853	8
NIC944	10
JU1428	10
NIC1170	7
NIC905	9
QG2899	10
QG3802	7
NIC1564	9
NIC1270	10
QG3868	9
QG3845	11
NIC1534	8
NIC390	10
QG3055	10
NIC1419	9
NIC1146	10
QG1000	11
NIC1467	8
NIC926	10
NIC1405	9
NIC535	11
NIC372	14
NIC1585	8
JU1851	10
QG3854	8
QG3539	8
ECA800	7
NIC1344	10
NIC1178	8
NIC1121	11
QG2725	10
NIC934	9
QG3833	14
QG3013	9
NIC1174	9
JU1849	13
NIC1278	9
NIC393	11
NIC1543	8
ECA803	6
QG3831	8
QG3011	8
NIC1293	8
NIC965	9
NIC895	6
NIC1129	11
NIC976	10
QG942	9
NIC975	12
NIC1380	13
NIC1371	10
NIC1321	10
NIC1268	8
NIC1114	9
NIC1553	9
NIC1299	12
NIC1130	11
NIC913	9
QG3828	8
JU1831	12
NIC1142	10
NIC579	10
NIC289	11
JU1630	12
NIC1307	9
NIC1436	14
BRC20464	8
QG3809	8
NIC1886	10
ECA1447	8
NIC775	10
NIC907	9
NIC1378	9
NIC1547	7
QG3847	7
NIC1476	13
NIC950	11
NIC980	9
NIC1549	8
NIC56	10
NIC1584	8
NIC1277	9
NIC344	11
NIC1156	8
QG2747	11
NIC750	10
NIC1438	7
ECA795	8
ECA1311	7
NIC587	13
ECA1405	10
NIC940	9
NIC1472	11
NIC472	10
NIC1348	10
QG2726	9
NIC1603	8
QG848	7
ECA797	7
NIC1470	10
QG2699	10
NIC1272	10
NIC405	12
NIC1881	11
ECA1304	8
NIC1588	6
JU1838	14
NIC1526	8
NIC1846	11
TWN2103	6
NIC908	11
JU1639	10
NIC1315	10
ECA794	11
NIC404	13
NIC1545	7
JU1641	10
NIC407	12
NIC577	9
NIC1342	10
NIC1542	8
JU1839	14
QG2905	9
NIC444	9
NIC286	13
NIC1179	13
QG3863	6
NIC580	9
NIC416	12
QG845	9
NIC1561	9
NIC1382	10
NIC1160	9
NIC994	9
NIC383	13
NIC1912	10
NIC496	18
NIC517	10
NIC763	10
QG846	9
QG844	11
NIC1473	10
NIC1397	10
EG6180	11
NIC443	6
NIC1961	13
NIC1161	11
NIC445	11
NIC1115	16
QG3037	7
QG3792	8
NIC475	11
NIC530	8
JU1374	9
QG3848	10
NIC1422	9
JU2505	13
QG3545	8
NIC969	10
NIC1376	10
QG3839	12
QG2896	8
NIC925	10
NIC58	14
NIC952	10
QG2733	11
QG3824	9
NIC1181	12
NIC1653	8
NIC1411	10
NIC964	9
NIC947	11
NIC192	11
NIC1391	7
QG3834	8
QG3846	8
NIC1928	11
NIC1878	9
JU1632	9
NIC1144	8
QG2897	9
NIC939	7
NIC1647	9
NIC1915	13
NIC987	12
ECA796	8
NIC1559	8
NIC1163	9
NIC1395	13
ECA799	9
NIC999	13
NIC1679	8
QG3860	7
NIC951	11
NIC960	9
NIC247	16
NIC380	10
ECA802	6
QG3818	6
NIC1132	10
NIC1917	9
NIC461	11
QG2748	11
ECA1449	9
NIC389	14
NIC384	11
QG3869	10
NIC1122	9
NIC898	8
NIC387	13
NIC1848	10
NIC585	8
NIC1879	8
JU1848	10
QG2770	16
ECA1599	6
QG2755	11
NIC1541	7
NIC1425	10
NIC773	7
JU1373	11
ECA1303	9
NIC1275	10
QG3535	9
NIC551	9
NIC923	13
QG3010	8
QG2720	11
QG3873	12
QG3856	16
NIC959	10
ECA789	14
QG3791	6
JU2752	10
NIC1172	9
NIC1415	10
JU1819	14
JU1800	10
