ReadGroup	Library	Sample	Total	Mapped	Duplicates	LENGTH_ESTIMATE	TEL0	TEL1	TEL2	TEL3	TEL4	TEL5	TEL6	TEL7	TEL8	TEL9	TEL10	TEL11	TEL12	TEL13	TEL14	TEL15	TEL16	GC0	GC1	GC2	GC3	GC4	GC5	GC6	GC7	GC8	GC9	
UNKNOWN		UNKNOWN	27092866	26865467	683112	141.9	26425950	538878	36825	22782	16424	11897	8073	6098	3893	2524	1935	1559	1411	1607	2015	2958	8037	1971394	1816008	1520230	1226016	1002939	630084	474636	319556	210127	141216	
UNKNOWN		UNKNOWN	30073628	29864854	957148	141.499	29342517	596879	38953	23574	16618	12063	7963	6739	4134	3104	2416	2052	1811	1870	2086	3228	7621	2179618	1999812	1670744	1344198	1094751	697477	524841	350520	227863	154179	
UNKNOWN		UNKNOWN	71719826	71001190	3086069	471.197	69723038	1438790	104561	66372	52062	38660	26447	16005	11723	8732	6854	11466	14047	28388	100995	71686	0	3223886	5730256	4820623	3833840	3033086	1109923	1604793	962095	602993	351972	
UNKNOWN		UNKNOWN	27416241	27240711	2089757	167.629	26571176	717384	39089	18581	14081	10469	8701	6465	5092	3882	2772	1965	1761	1491	1371	1337	1245	1878736	1610433	1274973	960839	747668	433803	313161	199402	126817	85254	
UNKNOWN		UNKNOWN	36987713	36514133	2744156	155.96	35846733	963701	54903	26062	18835	13964	11271	8148	6287	4856	3439	2763	2312	2035	1927	1908	2072	2570004	2196997	1748159	1341796	1048955	608906	445838	290591	183000	121828	
UNKNOWN		UNKNOWN	51535098	51073335	2903262	157.153	50128324	1038616	94547	69419	60440	47240	33192	19611	10025	5006	2713	2788	3063	4974	10018	5122	0	2344111	4314987	3638987	2899912	2126985	787358	1150239	696352	430571	259842	
UNKNOWN		UNKNOWN	62791513	53095022	3870851	78.6536	60913418	1602152	90032	45373	32480	23598	17650	13339	9784	6595	4454	3328	2670	2306	2217	2805	8456	4383672	3951583	3520298	3081821	2752386	2393198	2074160	1661858	1195080	774362	
UNKNOWN		UNKNOWN	31180668	30939192	1860173	283.641	30066613	859415	50946	25519	19960	16637	14761	12858	11121	9336	7757	6681	5794	5434	4966	4629	4516	2520793	2203969	1833622	1431956	1143259	720640	514365	336578	223110	150455	
UNKNOWN		UNKNOWN	38815944	38604814	1990418	374.23	37464246	1084663	57185	26183	19861	17016	14363	12528	10759	9544	8690	8120	7656	7371	7311	7126	7020	2733214	2315494	1839186	1370352	1025185	639425	444240	279568	172327	108742	
UNKNOWN		UNKNOWN	22791293	22706088	4269806	165.993	22024977	653051	35336	15554	11985	9249	7373	6101	4699	3189	2396	1654	1203	941	789	744	775	1690440	1408912	1104747	823326	609298	370733	252921	156972	97707	61712	
UNKNOWN		UNKNOWN	27694886	24883860	3792503	195.748	26778359	779762	43988	19838	15260	10553	8956	7183	5675	4608	2950	2162	1432	1074	771	731	756	1757267	1446951	1135378	841159	611823	398487	279628	197263	161012	168651	
UNKNOWN		UNKNOWN	34660136	34146102	1458160	129.258	33506123	1002141	53943	24708	18217	13645	11377	8350	6288	4514	2944	1931	1428	838	611	533	422	2467842	2106945	1677160	1270852	955800	603139	423296	276140	173667	110182	
UNKNOWN		UNKNOWN	32321876	32109431	2055487	286.893	31179882	905025	49730	24691	19958	16543	14921	12427	10672	8945	7044	5934	5066	4893	4191	3702	3567	2568104	2190975	1772360	1351022	1021160	653933	449211	290559	187665	122453	
UNKNOWN		UNKNOWN	36903089	35137785	1745764	192.832	35658477	1047293	56769	25299	18522	14515	12641	9970	8243	6677	5197	4411	3973	3533	3127	3130	2918	2567384	2226174	1814989	1411535	1122646	797062	629357	458598	313870	203412	
UNKNOWN		UNKNOWN	35763081	32222545	1376460	129.283	34621580	982293	49276	21385	16310	12420	10477	8129	6706	5308	4055	3133	2613	2242	2183	1942	1893	2394349	2062143	1709481	1392365	1196616	940803	824586	658171	473778	310087	
UNKNOWN		UNKNOWN	50610623	45853280	6712766	224.187	48864890	1462876	68941	30828	22569	17961	15244	12198	10383	8509	6542	5213	4455	4105	3858	3784	3818	3651755	3012597	2349776	1715536	1227759	800485	541549	369574	274459	228335	
UNKNOWN		UNKNOWN	26874120	26822394	5433112	168.681	25995037	751441	38341	17856	13019	9905	8521	6423	4829	3645	2518	1757	1368	1154	992	927	898	1892511	1566151	1214312	897335	658772	392265	271172	169785	105155	66328	
UNKNOWN		UNKNOWN	37603311	37469991	7134667	167.447	36373983	1052481	57054	24649	18285	14291	11653	9348	7115	5186	3602	2368	1976	1386	1172	1249	1262	2678576	2218805	1729213	1277561	934364	562983	380973	236327	149295	94282	
UNKNOWN		UNKNOWN	32252802	32018266	1262231	131.315	31403669	680712	49159	30776	23291	16517	11084	8216	5242	3305	2235	1851	1647	1788	1994	3057	8259	2387059	2207567	1877282	1537415	1248441	822297	599517	405936	263660	181423	
UNKNOWN		UNKNOWN	72012804	71205697	4548000	826.012	69481757	1487691	140789	111575	96560	78010	57139	36752	32668	18709	16984	25680	31273	62371	204646	130200	0	3490620	6363161	5450672	4369514	3601037	1296382	1867137	1091960	686137	400407	
UNKNOWN		UNKNOWN	34672344	34101920	6337657	185.315	33497252	1010492	48748	21457	15514	11595	9726	7728	6078	4716	3297	2300	1725	1399	1311	1246	1375	2272271	1837875	1406721	1022807	740139	476655	336429	222758	140613	87050	
UNKNOWN		UNKNOWN	46089805	45798102	1902113	153.532	44844600	1001202	68728	44038	33449	25031	17728	11943	7494	4880	3310	2762	2512	2583	3256	5198	11091	3464005	3085258	2553636	2011355	1535419	1057065	723350	470721	297196	201246	
UNKNOWN		UNKNOWN	29219306	28927681	1193130	174.583	28250234	831732	44778	19699	15006	11764	9206	7347	5647	4506	3292	2336	1808	1510	1337	1242	1112	2087008	1753863	1381773	1033265	769147	479442	330930	210759	132467	84373	
UNKNOWN		UNKNOWN	60616508	58988811	4198347	116.398	58771531	1571951	92091	45753	32590	24119	18076	13358	9356	6189	3894	2882	2257	2040	1959	2823	8079	4696272	4050104	3343179	2595447	1930804	1352540	935777	642496	426192	288445	
UNKNOWN		UNKNOWN	19922992	19830972	3832111	235.233	19226115	573504	29986	13501	10123	8176	6740	5609	4436	3426	2466	1988	1759	1595	1618	1584	1989	1405324	1163195	911677	676502	503485	310428	210982	132115	82424	51578	
UNKNOWN		UNKNOWN	32867567	32619168	1409177	129.801	31847502	899879	42525	19010	13291	10205	8062	6220	4819	3392	2536	1733	1262	1035	925	818	731	2309883	1913677	1488678	1105461	810883	497018	336262	212964	131682	83788	
UNKNOWN		UNKNOWN	39564544	39262703	7082837	224.339	38194984	1142747	57701	25774	19226	14105	12424	9935	7990	5893	4714	3504	2929	2352	2214	2257	2390	2716449	2210610	1687665	1222140	885468	538906	362894	228723	140759	88277	
UNKNOWN		UNKNOWN	32068856	31822257	2139843	383.024	30896639	870599	51822	26122	21190	17161	16035	14026	12592	10990	9576	8432	7659	7107	6523	6273	6338	2474416	2133219	1715821	1316382	1041047	649380	451182	295816	192256	129216	
UNKNOWN		UNKNOWN	28093674	27915202	5746001	208.938	27176206	764343	39336	18448	13807	10497	8606	6777	5447	4198	3260	2456	1967	1935	1866	1986	2174	1990034	1655097	1277766	938926	697952	412117	286868	182205	113119	72142	
UNKNOWN		UNKNOWN	31604565	31293505	1991863	332.648	30468027	861789	54483	27546	22181	17611	16346	13636	11987	10194	8474	7469	6182	5542	5051	4866	4683	2409104	2093351	1695837	1308810	1047749	650101	459491	305102	198865	134872	
UNKNOWN		UNKNOWN	45357742	45080727	9328502	141.489	43805554	1345396	71174	31150	21974	17900	15088	11507	8615	6291	4073	2782	1692	1123	825	662	658	3422760	2917852	2312698	1687427	1199319	754941	508831	312988	196960	123543	
UNKNOWN		UNKNOWN	29365262	28852282	4311379	156.234	28392340	833317	42622	19710	14255	10868	8729	7025	5472	3887	2897	2098	1522	1132	922	901	838	2103939	1740113	1356263	1009393	755402	480436	348704	232999	149949	94424	
UNKNOWN		UNKNOWN	31769371	31575141	2372139	176.223	30812943	810459	42171	20159	14951	11193	8963	6721	5095	4114	3211	2643	2365	2219	1935	2010	2094	2173741	1849561	1448713	1092647	845551	484591	351877	227269	142807	93574	
