strain	LENGTH_ESTIMATE
[MY2004.bam]	157.741
[ECA1931.bam]	389.997
[ECA777.bam]	248.311
[WN2002.bam]	162.475
[ECA1847.bam]	368.833
[ECA2598.bam]	165.557
[QG4135.bam]	245.169
[ECA1825.bam]	448.122
[JU3398.bam]	113.39
[QX1212.bam]	658.299
[ECA1197.bam]	178.017
[QG2857.bam]	127.98
[MY2491.bam]	110.793
[ECA395.bam]	254.842
[QX1214.bam]	799.891
[ECA350.bam]	474.02
[ECA737.bam]	183.716
[WN2063.bam]	155.009
[ECA2521.bam]	190.072
[QG2828.bam]	140.026
[NIC3.bam]	64.5161
[WN2039.bam]	175.736
[DL238.bam]	1013.66
[ECA2452.bam]	170.454
[ECA1735.bam]	297.786
[QG2858.bam]	134.063
[ECA2403.bam]	171.361
[KR314.bam]	688.399
[ECA748.bam]	229.07
[MY589.bam]	146.525
[JU4082.bam]	148.832
[JU1511.bam]	112.277
[ECA765.bam]	231.686
[QX1216.bam]	412.78
[JU2141.bam]	99.275
[ECA254.bam]	108.039
[NIC268.bam]	168.717
[MY2623.bam]	552.157
[ECA616.bam]	75.4958
[JU3136.bam]	295.298
[ECA809.bam]	211.645
[JU3139.bam]	197.221
[WN2073.bam]	127.052
[QG2835.bam]	144.894
[ECA2326.bam]	404.812
[QG2830.bam]	156.634
[QG2875.bam]	132.955
[JU2526.bam]	85.8289
[QG4103.bam]	264.999
[ECA1953.bam]	531.01
[ECA1212.bam]	163.639
[JU2802.bam]	128.089
[ECA1995.bam]	169.582
[ECA2287.bam]	196.675
[ECA2547.bam]	137.739
[MY819.bam]	144.149
[QG2813.bam]	139.268
[ECA1223.bam]	161.018
[ECA1208.bam]	190.733
[ECA1951.bam]	556.824
[ECA754.bam]	171.425
[ECA1293.bam]	167.463
[QG4016.bam]	210.784
[ECA1200.bam]	201.591
[QG4004.bam]	195.548
[ECA761.bam]	181.399
[JU1924.bam]	276.25
[ECA1198.bam]	183.017
[JU1249.bam]	185.489
[JU4074.bam]	175.021
[MY18.bam]	170.649
[JU3137.bam]	331.765
[MY795.bam]	186.509
[ECA710.bam]	162.126
[ECA2554.bam]	170.71
[JU3400.bam]	132.448
[MY2688.bam]	112.183
[ECA1214.bam]	159.195
[MY2685.bam]	180.796
[ECA1316.bam]	267.679
[NIC1792.bam]	170.666
[JU4073.bam]	198.557
[ECA1903.bam]	442.778
[MY2338.bam]	113.159
[ECA2572.bam]	262.107
[WN2096.bam]	154.525
[ECA349.bam]	482.616
[QG2811.bam]	154.472
[ECA1715.bam]	266.627
[ECA1927.bam]	199.255
[ECA1767.bam]	204.393
[JU2016.bam]	213.354
[JU2527.bam]	91.4015
[JU2106.bam]	101.539
[ECA2107.bam]	176.223
[MY2679.bam]	166.345
[MY864.bam]	153.554
[NIC1810.bam]	224.187
[ECA749.bam]	281.503
[ECA1759.bam]	208.938
[MY2144.bam]	141.499
[ECA2658.bam]	468.666
[ECA813.bam]	179.274
[JU1516.bam]	105.554
[ECA2171.bam]	207.763
[ECA1284.bam]	228.611
[ECA2340.bam]	411.295
[JU4085.bam]	163.409
[ECA2536.bam]	245.156
[QG4184.bam]	194.425
[JU2828.bam]	135.717
[QG4017.bam]	258.546
[MY2579.bam]	192.902
[ECA1230.bam]	157.495
[ECA2591.bam]	161.979
[JU1491.bam]	149.683
[QG2846.bam]	132.508
[JT11398.bam]	578.381
[ECA2563.bam]	187.961
[MY508.bam]	159.931
[ECA2413.bam]	196.586
[WN2061.bam]	112.456
[JU1409.bam]	214.895
[ECA2431.bam]	221.48
[ECA1071.bam]	107.692
[JU4048.bam]	157.253
[ECA704.bam]	231.606
[ECA1937.bam]	286.893
[QX1791.bam]	118.928
[ECA1929.bam]	384.076
[NIC529.bam]	150.222
[ECA1711.bam]	223.245
[ED3005.bam]	138.365
[ECA2677.bam]	202.768
[ECA1281.bam]	196.408
[NIC515.bam]	258.76
[ECA2067.bam]	316.775
[NIC196.bam]	193.882
[JU2830.bam]	77.2176
[ECA1296.bam]	194.205
[ECA1279.bam]	192.3
[QG2854.bam]	137.365
[QG2845.bam]	142.549
[NIC1812.bam]	170.979
[ECA189.bam]	358.412
[JU3399.bam]	146.372
[ECA2319.bam]	157.894
[MY2147.bam]	190.63
[ECA1225.bam]	157.596
[ECA1189.bam]	177.104
[ECA1733.bam]	225.16
[ECA2122.bam]	195.111
[JU2878.bam]	140.92
[ECA2549.bam]	184.205
[QG556.bam]	817.945
[NIC251.bam]	198.386
[JU1088.bam]	293.626
[ECA1245.bam]	197.923
[MY2024.bam]	823.699
[ECA1224.bam]	181.227
[ECA926.bam]	336.093
[MY882.bam]	638.017
[JU2139.bam]	234.231
[ECA2321.bam]	175.925
[ECA1263.bam]	180.704
[ECA640.bam]	297.61
[ECA2183.bam]	141.182
[ECA2535.bam]	251.366
[MY579.bam]	138.983
[ECA2574.bam]	168.681
[ECA1887.bam]	180.744
[ECA2147.bam]	188.517
[ECA2485.bam]	164.162
[WN2059.bam]	135.301
[JU4098.bam]	212.736
[ECA2125.bam]	221.787
[QG2075.bam]	237.989
[PS2025.bam]	162.211
[MY772.bam]	128.066
[NIC1797.bam]	219.95
[JU3226.bam]	255.17
[ECA2648.bam]	245.468
[ECA1851.bam]	369.854
[NIC511.bam]	98.7148
[ECA755.bam]	184.916
[NIC199.bam]	208.245
[ECA730.bam]	234.545
[ECA347.bam]	234.945
[ECA2552.bam]	164.788
[JU778.bam]	229.471
[MY2294.bam]	144.525
[JU3166.bam]	71.6773
[MY524.bam]	120.31
[ECA709.bam]	235.21
[JU2234.bam]	254.179
[JU2572.bam]	230.014
[ECA1239.bam]	181.595
[JU1172.bam]	330.906
[ECA1259.bam]	185.067
[WN2083.bam]	158.758
[ECA1935.bam]	430.266
[ECA787.bam]	145.487
[JU1807.bam]	75.9676
[ECA2641.bam]	161.704
[ECA1723.bam]	423.843
[ECA2433.bam]	189.764
[ECA2522.bam]	218.969
[QG4080.bam]	200.765
[ECA1209.bam]	212.972
