strain	length_estimate
AB1	188.384
AB4	808.118
BRC20067	121.403
BRC20113	107.53
BRC20231	68.8761
BRC20263	131.029
CB4852	175.569
CB4854	178.05
CB4856	262.276
CB4932	208.726
CX11254	293.954
CX11262	214.774
CX11264	826.012
CX11271	370.95
CX11276	238.98
CX11285	147.393
CX11292	679.344
CX11307	135.707
CX11314	471.197
CX11315	1026.54
DL200	133.738
DL226	145.521
DL238	1013.66
ECA1069	146.965
ECA1070	174.082
ECA1071	107.692
ECA1072	99.6476
ECA1073	110.184
ECA1074	110.873
ECA1184	180.965
ECA1185	164.045
ECA1186	186.729
ECA1187	174.2
ECA1188	188.4
ECA1189	177.104
ECA1190	172.534
ECA1191	171.385
ECA1192	173.38
ECA1193	164.512
ECA1194	186.798
ECA1195	173.851
ECA1196	180.221
ECA1197	178.017
ECA1198	183.017
ECA1199	177.928
ECA1200	201.591
ECA1201	163.518
ECA1202	166.127
ECA1203	195.435
ECA1204	201.594
ECA1205	182.769
ECA1206	157.683
ECA1207	205.078
ECA1208	190.733
ECA1209	212.972
ECA1210	184.083
ECA1211	194.319
ECA1212	163.639
ECA1213	161.74
ECA1214	159.195
ECA1215	161.291
ECA1216	163.021
ECA1217	144.157
ECA1218	164.716
ECA1220	196.25
ECA1221	191.466
ECA1222	151.614
ECA1223	161.018
ECA1224	181.227
ECA1225	157.596
ECA1226	199.713
ECA1227	192.758
ECA1228	168.672
ECA1229	157.3
ECA1230	157.495
ECA1231	161.192
ECA1232	187.975
ECA1233	160.808
ECA1234	163.36
ECA1235	181.442
ECA1236	161.206
ECA1237	167.093
ECA1238	181.413
ECA1239	181.595
ECA1240	186.189
ECA1241	161.537
ECA1242	160.098
ECA1243	182.537
ECA1244	205.545
ECA1245	197.923
ECA1246	214.422
ECA1247	215.468
ECA1249	200.722
ECA1250	183.408
ECA1251	191.272
ECA1252	198.444
ECA1253	168.465
ECA1254	190.098
ECA1255	186.518
ECA1256	195.659
ECA1257	155.7
ECA1258	170.725
ECA1259	185.067
ECA1260	190.72
ECA1261	179.577
ECA1262	198.842
ECA1263	180.704
ECA1264	191.107
ECA1265	197.602
ECA1266	191.994
ECA1267	173.278
ECA1268	156.234
ECA1269	151.908
ECA1270	148.683
ECA1271	183.973
ECA1272	221.01
ECA1273	188.22
ECA1274	226.915
ECA1275	188.624
ECA1276	149.408
ECA1277	153.585
ECA1278	159.498
ECA1279	192.3
ECA1281	196.408
ECA1282	210.358
ECA1283	224.339
ECA1284	228.611
ECA1285	248.3
ECA1286	180.034
ECA1287	192.076
ECA1288	200.148
ECA1289	185.315
ECA1290	167.6
ECA1291	204.125
ECA1292	192.46
ECA1293	167.463
ECA1294	175.036
ECA1295	192.864
ECA1296	194.205
ECA1297	213.805
ECA1298	195.682
ECA1316	267.679
ECA1385	246.688
ECA1389	185.005
ECA1391	182.816
ECA1406	167.931
ECA1409	128.062
ECA1413	165.841
ECA1415	159.805
ECA1441	200.146
ECA1465	145.384
ECA1467	145.414
ECA1493	147.224
ECA1515	169.051
ECA1689	204.998
ECA1691	343.774
ECA1693	400.873
ECA1695	335.564
ECA1709	209.688
ECA1711	223.245
ECA1713	203.541
ECA1715	266.627
ECA1717	223.561
ECA1718	196.466
ECA1721	210.171
ECA1723	423.843
ECA1725	146.093
ECA1727	244.545
ECA1729	258.1
ECA1731	74.0547
ECA1733	225.16
ECA1735	297.786
ECA1737	368.03
ECA1739	155.96
ECA1741	386.906
ECA1743	162.31
ECA1745	219.925
ECA1747	398.474
ECA1749	416.789
ECA1751	531.584
ECA1753	343
ECA1755	158.376
ECA1757	162.149
ECA1759	208.938
ECA1761	149.926
ECA1763	199.435
ECA1765	146.881
ECA1767	204.393
ECA1769	277.593
ECA1771	320.054
ECA1779	332.648
ECA1781	200.186
ECA1783	383.024
ECA1785	193.608
ECA1787	180.894
ECA1789	314.269
ECA1791	177.484
ECA1793	171.629
ECA1795	172.964
ECA1797	187.669
ECA1799	403.412
ECA1801	337.663
ECA1803	351.261
ECA1805	373.152
ECA1807	240.125
ECA1809	256.824
ECA1811	249.495
ECA1813	313.048
ECA1815	278.289
ECA1817	264.404
ECA1819	278.341
ECA1821	263.668
ECA1823	230.569
ECA1825	448.122
ECA1827	198.531
ECA1829	195.435
ECA1831	90.9147
ECA1833	190.212
ECA1835	97.9236
ECA1837	158.259
ECA1839	136.872
ECA1841	92.3378
ECA1843	119.521
ECA1845	232.651
ECA1847	368.833
ECA1849	391.381
ECA1851	369.854
ECA1853	235.535
ECA1855	201.339
ECA1857	197.6
ECA1859	154.102
ECA1861	114.051
ECA1863	182.52
ECA1865	213.705
ECA1867	221.837
ECA1869	398.372
ECA1871	409.797
ECA1873	372.342
ECA1875	477.507
ECA1877	153.012
ECA1878	168.942
ECA1885	194.177
ECA1887	180.744
ECA1889	198.232
ECA189	358.412
ECA1891	173.925
ECA1895	366.523
ECA1897	304.785
ECA190	409.494
ECA1901	293.682
ECA1903	442.778
ECA1907	165.687
ECA1909	180.521
ECA191	219.639
ECA1911	155.34
ECA1913	158.361
ECA1915	162.842
ECA1917	208.431
ECA1919	250.941
ECA192	373.173
ECA1921	225.397
ECA1923	198.384
ECA1925	250.467
ECA1927	199.255
ECA1929	384.076
ECA193	273.233
ECA1931	389.997
ECA1933	349.748
