strain	Length_estimate
BRC20400	174.265
NIC550	174.815
JU1634	193.903
NIC938	131.494
NIC536	153.968
NIC1646	142.397
NIC374	147.096
QG3877	234.248
QG3812	185.591
NIC1137	180.398
NIC749	204.237
NIC588	199.997
NIC114	163.136
NIC575	166.529
NIC382	180.62
NIC1381	184.765
NIC1337	161.659
NIC441	175.344
NIC1976	174.988
QG3821	137.263
NIC1930	227.971
QG3872	162.091
QG3526	242.701
NIC1166	134.662
QG850	165.386
NIC1477	170.96
QG3838	144.35
NIC972	138.559
NIC1556	116.353
NIC1551	129.661
JU1631	210.53
NIC1354	173.978
EG5889	136.982
NIC748	168.44
NIC591	182.078
NIC469	421.252
NIC1644	168.567
QG2772	248.812
NIC941	120.303
NIC1940	202.703
QG3514	162.45
NIC122	153.203
NIC945	152.248
NIC1328	130.394
NIC751	231.4
NIC567	206.714
JU1872	170.028
QG2697	169.641
QG3790	137.321
JU1871	193.898
NIC946	173.364
NIC1116	149.816
NIC99	157.824
QG2898	163.818
ECA1301	133.858
NIC1393	175.665
QG853	128.873
NIC944	158.98
JU1428	163.573
NIC1170	116.581
NIC905	149.852
QG2899	158.169
QG3802	110.443
NIC1564	143.898
NIC1270	165.387
QG3868	142.771
QG3845	171.475
NIC1534	121.904
NIC390	161.58
QG3055	166.168
NIC1419	151.759
NIC1146	169.008
QG1000	174.199
NIC1467	129.484
NIC926	161.616
NIC1405	142.248
NIC535	182.48
NIC372	224.032
NIC1585	133.323
JU1851	168.303
QG3854	124.743
QG3539	122.85
ECA800	107.039
NIC1344	159.89
NIC1178	137.541
NIC1121	175.507
QG2725	162.709
NIC934	146.975
QG3833	220.421
QG3013	153.54
NIC1174	153.641
JU1849	218.123
NIC1278	142.473
NIC393	181.685
NIC1543	125.899
ECA803	98.5691
QG3831	130.562
QG3011	133.683
NIC1293	137.59
NIC965	143.12
NIC895	103.106
NIC1129	171.933
NIC976	159.764
QG942	148.853
NIC975	200.876
NIC1380	208.315
NIC1371	165.173
NIC1321	167.173
NIC1268	122.887
NIC1114	152.976
NIC1553	140.416
NIC1299	194.207
NIC1130	184.446
NIC913	144.718
QG3828	130.081
JU1831	186.627
NIC1142	166.889
NIC579	165.293
NIC289	183.162
JU1630	193.058
NIC1307	144.826
NIC1436	224.063
BRC20464	124.493
QG3809	128.531
NIC1886	156.975
ECA1447	123.63
NIC775	167.153
NIC907	141.459
NIC1378	145.572
NIC1547	110.065
QG3847	112.823
NIC1476	204.172
NIC950	171.634
NIC980	152.374
NIC1549	134.095
NIC56	157.817
NIC1584	130.468
NIC1277	147.482
NIC344	183.399
NIC1156	136.788
QG2747	176.414
NIC750	169.33
NIC1438	121.342
ECA795	125.638
ECA1311	107.131
NIC587	214.876
ECA1405	163.898
NIC940	138.36
NIC1472	172.075
NIC472	168.211
NIC1348	167.014
QG2726	153.9
NIC1603	123.793
QG848	116.154
ECA797	121.351
NIC1470	169.863
QG2699	165.562
NIC1272	161.297
NIC405	192.232
NIC1881	176.486
ECA1304	134.914
NIC1588	105.363
JU1838	234.224
NIC1526	126.151
NIC1846	170.651
TWN2103	103.521
NIC908	178.029
JU1639	162.363
NIC1315	159.423
ECA794	172.056
NIC404	210.418
NIC1545	120.746
JU1641	157.573
NIC407	186.908
NIC577	151.799
NIC1342	160.58
NIC1542	127.147
JU1839	224.289
QG2905	150.824
NIC444	143.12
NIC286	213.752
NIC1179	215.367
QG3863	102.201
NIC580	138.691
NIC416	187.999
QG845	145.811
NIC1561	152.325
NIC1382	165.586
NIC1160	142.524
NIC994	148.336
NIC383	206.645
NIC1912	162.244
NIC496	289.227
NIC517	157.251
NIC763	169.748
QG846	149.234
QG844	177.26
NIC1473	159.569
NIC1397	164.728
EG6180	183.117
NIC443	92.3104
NIC1961	214.654
NIC1161	171.112
NIC445	173.852
NIC1115	251.491
QG3037	117.817
QG3792	132.872
NIC475	186.486
NIC530	123.47
JU1374	148.359
QG3848	158.359
NIC1422	152.562
JU2505	211.607
QG3545	125.307
NIC969	155.073
NIC1376	170.169
QG3839	188.126
QG2896	130.733
NIC925	157.791
NIC58	220.451
NIC952	166.714
QG2733	175.891
QG3824	148.666
NIC1181	194.75
NIC1653	134.642
NIC1411	158.879
NIC964	149.02
NIC947	178.125
NIC192	182.139
NIC1391	117.303
QG3834	135.772
QG3846	131.585
NIC1928	186.074
NIC1878	141.65
JU1632	143.056
NIC1144	135.027
QG2897	139.138
NIC939	115.689
NIC1647	153.685
NIC1915	206.107
NIC987	190.927
ECA796	131.84
NIC1559	128.119
NIC1163	140.365
NIC1395	211.123
ECA799	151.818
NIC999	209.932
NIC1679	136.628
QG3860	106.282
NIC951	178.569
NIC960	145.058
NIC247	264.339
NIC380	168.312
ECA802	104.52
QG3818	92.8461
NIC1132	160.042
NIC1917	150.566
NIC461	174.72
QG2748	175.136
ECA1449	151.246
NIC389	220.832
NIC384	186.475
QG3869	159.292
NIC1122	147.581
NIC898	133.117
NIC387	203.487
NIC1848	160.041
NIC585	127.786
NIC1879	137.339
JU1848	156.11
QG2770	258.528
ECA1599	93.9229
QG2755	185.314
NIC1541	105.675
NIC1425	164.001
NIC773	117.483
JU1373	170.813
ECA1303	151.434
NIC1275	168.821
QG3535	140.305
NIC551	150.945
NIC923	206.088
QG3010	122.328
QG2720	177.012
QG3873	195.343
QG3856	253.98
NIC959	164.711
ECA789	220.755
QG3791	100.792
JU2752	167.572
NIC1172	144.815
NIC1415	168.954
JU1819	234.624
JU1800	160.08
NIC1837	183.293
NIC1153	146.322
NIC1290	139.695
NIC955	121.77
NIC1187	233.669
NIC1594	99.2272
NIC1583	119.584
BRC20391	205.081
QG3836	134.628
NIC958	161.217
QG801	140.769
NIC586	148.612
QG3853	126.478
NIC417	184.168
NIC473	134.297
QG3844	174.244
QG834	140.418
NIC300	212.118
NIC915	168.083
