ReadGroup	length_estimate
[ECA344.bam]	37.1428
[NIC65.bam]	55.1176
[BRC20103.bam]	83.0056
[QG4028.bam]	21.9151
[QG2685.bam]	45.806
[XZ1207.bam]	43.1762
[QG2689.bam]	75.0864
[QG936.bam]	115.226
[ECA2614.bam]	39.7408
[JU4080.bam]	41.1278
[NIC1267.bam]	60.6126
[JU2861.bam]	66.6713
[BRC20102.bam]	57.4752
[JU1041.bam]	96.0516
[QG2669.bam]	98.8121
[NIC301.bam]	77.5526
[QG1107.bam]	72.6385
[JU1561.bam]	92.2241
[BRC20367.bam]	49.9905
[NIC1138.bam]	29.4808
[QG3043.bam]	32.496
[BRC20256.bam]	86.2147
[QG1120.bam]	45.944
[BRC20541.bam]	53.7631
[NIC83.bam]	49.1198
[ECA2663.bam]	60.1688
[VT847.bam]	42.4787
[QG1151.bam]	41.1592
[QG107.bam]	58.89
[QG767.bam]	45.2513
[QG4210.bam]	32.1999
[ED3096.bam]	50.2653
[JU1468.bam]	98.5289
[NIC186.bam]	47.2869
[QG944.bam]	184.575
[JU1378.bam]	52.7685
[BRC20499.bam]	44.0166
[BRC20254.bam]	60.564
[JU1992.bam]	61.2124
[QG4064.bam]	46.3774
[NIC896.bam]	45.9304
[JU2792.bam]	86.867
[JU1914.bam]	31.8701
[NIC984.bam]	57.213
[JU1261.bam]	97.0282
[NIC900.bam]	53.1599
[NIC871.bam]	56.3662
[NIC66.bam]	67.5747
[NIC1663.bam]	34.3398
[JU2590.bam]	86.4115
[BRC20532.bam]	51.8963
[NIC358.bam]	59.4877
[TWN3077.bam]	59.8792
[QG939.bam]	171.39
[QG773.bam]	52.4838
[JU2618.bam]	70.5622
[QG3866.bam]	54.3995
[QG829.bam]	58.6633
[QG948.bam]	142.169
[QG2731.bam]	54.5723
[NIC1610.bam]	73.7593
[JU2457.bam]	67.5717
[QG4231.bam]	50.9902
[QG3858.bam]	46.2586
[QX1803.bam]	54.6597
[ECA280.bam]	78.0774
[QG803.bam]	61.882
[QG2666.bam]	67.2252
[QG746.bam]	40.5917
[NIC888.bam]	41.1509
[ECA2493.bam]	11.9543
