AssayNumber	Strain	TraitName	Replicate	Value
1	AB1	TelLength	1	13
2	BRC20067	TelLength	1	8
3	BRC20263	TelLength	1	9
4	CB4851	TelLength	1	20
5	CB4852	TelLength	1	12
6	CB4853	TelLength	1	11
7	CB4854	TelLength	1	12
8	CB4855	TelLength	1	52
9	CB4856	TelLength	1	18
10	CB4857	TelLength	1	18
11	CB4858	TelLength	1	54
12	CB4932	TelLength	1	14
13	CX11254	TelLength	1	20
14	CX11262	TelLength	1	14
15	CX11264	TelLength	1	55
16	CX11271	TelLength	1	25
17	CX11276	TelLength	1	16
18	CX11285	TelLength	1	10
19	CX11292	TelLength	1	45
20	CX11307	TelLength	1	9
21	CX11314	TelLength	1	32
22	CX11315	TelLength	1	69
23	DL200	TelLength	1	9
24	DL226	TelLength	1	10
25	DL238	TelLength	1	68
26	ECA1069	TelLength	1	10
27	ECA1074	TelLength	1	8
28	ECA1185	TelLength	1	12
29	ECA1186	TelLength	1	12
30	ECA1187	TelLength	1	12
31	ECA1191	TelLength	1	11
32	ECA1192	TelLength	1	12
33	ECA1193	TelLength	1	11
34	ECA1194	TelLength	1	13
35	ECA1195	TelLength	1	12
36	ECA1196	TelLength	1	12
37	ECA1200	TelLength	1	13
38	ECA1202	TelLength	1	11
39	ECA1206	TelLength	1	21
40	ECA1208	TelLength	1	13
41	ECA1212	TelLength	1	13
42	ECA1216	TelLength	1	11
43	ECA1223	TelLength	1	11
44	ECA1225	TelLength	1	12
45	ECA1228	TelLength	1	11
46	ECA1229	TelLength	1	11
47	ECA1232	TelLength	1	13
48	ECA1237	TelLength	1	12
49	ECA1238	TelLength	1	12
50	ECA1240	TelLength	1	12
51	ECA1242	TelLength	1	11
52	ECA1243	TelLength	1	12
53	ECA1247	TelLength	1	15
54	ECA1251	TelLength	1	13
55	ECA1252	TelLength	1	13
56	ECA1253	TelLength	1	11
57	ECA1255	TelLength	1	13
58	ECA1257	TelLength	1	12
59	ECA1260	TelLength	1	13
60	ECA1261	TelLength	1	12
61	ECA1269	TelLength	1	11
62	ECA1271	TelLength	1	11
63	ECA1276	TelLength	1	10
64	ECA1278	TelLength	1	11
65	ECA1281	TelLength	1	15
66	ECA1283	TelLength	1	15
67	ECA1284	TelLength	1	16
68	ECA1286	TelLength	1	12
69	ECA1287	TelLength	1	13
70	ECA1288	TelLength	1	13
71	ECA1289	TelLength	1	12
