isotype	mean_length	sd
1	6	NA
2	5	NA
3	2	NA
4	2.8181818181818183	1.0787197799411874
5	10	NA
6	4	NA
7	4	NA
8	8	NA
9	4	NA
10	5	NA
11	3	NA
12	7	NA
13	3	NA
14	8	NA
15	5	NA
16	7	NA
17	10	NA
18	5	NA
19	7	NA
20	2	NA
21	7.777777777777778	1.3944333775567925
22	6	2.160246899469287
23	6.2	2.6832815729997477
24	4	1
25	5.666666666666667	2.309401076758503
26	3	NA
27	4	NA
28	4.5	0.7071067811865476
29	5.5	2.1213203435596424
30	3	NA
31	3	NA
32	6	NA
33	7.5	0.7071067811865476
34	7	NA
35	9.5	0.7071067811865476
36	4	NA
37	5	NA
38	7.5	0.7071067811865476
39	7	NA
40	9	NA
41	12	0
42	6	NA
43	8	NA
44	4	NA
45	4	NA
46	3	NA
47	5	NA
48	2	NA
49	5	NA
50	4.5	3.5355339059327378
51	5	NA
52	5	NA
53	9	NA
54	6	NA
55	4	NA
56	9	NA
57	9	NA
58	7	NA
59	6	NA
60	6	NA
61	4.5	0.7071067811865476
62	3	1.4142135623730951
63	8	NA
64	5	NA
65	5	NA
66	5	NA
67	5.333333333333333	0.5773502691896257
68	6	NA
69	4	1.4142135623730951
70	3	NA
71	5	NA
72	6	NA
73	3	NA
74	4	NA
75	3	NA
76	5	NA
77	4	NA
78	5	NA
79	8	NA
80	5	NA
81	5.5	0.7071067811865476
82	4	NA
83	5	NA
84	4	NA
85	4	NA
86	7	NA
87	4.375	1.1877349391654208
88	5	1.4142135623730951
89	5.333333333333333	1.1547005383792515
90	4	NA
91	5	NA
92	5	1.4142135623730951
93	4.888888888888889	0.927960727138337
94	2.2	0.7745966692414834
95	5	NA
96	3.0588235294117645	0.8269362305593853
97	5	NA
98	5.461538461538462	1.1982893790305562
99	3.4545454545454546	1.5075567228888183
100	5	2.8284271247461903
101	10	NA
102	6	NA
103	7.5	0.7071067811865476
104	4	NA
105	3	NA
106	4.818181818181818	1.4012980994907414
107	5	NA
108	6	2.449489742783178
109	8.5	6.363961030678928
110	3	NA
111	7.4	3.1304951684997055
112	3	NA
113	4.555555555555555	2.7436796055257213
114	7.25	6.551081335677848
115	7	NA
116	3	NA
117	5	NA
118	3	NA
119	5	NA
120	4.25	0.9574271077563381
121	5	NA
122	5	NA
123	5	1.4142135623730951
124	8	NA
