isotype	mean_length	sd
BRC20391	13	NA
BRC20400	11	NA
BRC20464	8	NA
BRC20548	8	NA
ECA1299	9	NA
ECA1300	9	NA
ECA1301	8	NA
ECA1302	8	NA
ECA1303	9	NA
ECA1304	8	NA
ECA1305	7	NA
ECA1306	4.5	0.7071067811865476
ECA1307	8	NA
ECA1310	5	NA
ECA1311	7	NA
ECA1312	6	NA
ECA1401	12	NA
ECA1403	9	NA
ECA1405	10	NA
ECA1445	8	NA
ECA1447	8	NA
ECA1449	9	NA
ECA1451	9	NA
ECA1481	8	NA
ECA1518	5	NA
ECA1579	6	NA
ECA1581	6	NA
ECA1583	6	NA
ECA1585	6	NA
ECA1599	6	NA
ECA2087	7	NA
ECA788	11	NA
ECA789	14	NA
ECA790	11	NA
ECA791	10	NA
ECA792	11	NA
ECA793	12	NA
ECA794	11	NA
ECA796	8	NA
ECA797	7	NA
ECA798	8	NA
ECA799	8.5	0.7071067811865476
ECA800	7	NA
ECA801	8	NA
ECA802	6	NA
ECA803	6	NA
ECA804	6	NA
ECA805	4	NA
ECA806	9	NA
EG5889	8	NA
EG6180	11	NA
JU1373	11	NA
JU1374	9	NA
JU1428	10	0
JU1630	12	NA
JU1631	13	NA
JU1632	9	NA
JU1633	11	NA
JU1634	12	NA
JU1635	14	NA
JU1636	11	NA
JU1639	10	NA
JU1640	8	NA
JU1641	10	NA
JU1800	10	NA
JU1818	14	NA
JU1819	14	NA
JU1821	6	NA
JU1835	11	NA
JU1838	14	0
JU1845	11	NA
JU1846	8	NA
JU1847	14	NA
JU1848	10	NA
JU1849	10	4.242640687119285
JU1850	12	NA
JU1851	10	NA
JU1870	13	NA
JU1871	11	1.4142135623730951
JU1975	8	NA
JU1976	10	NA
JU2505	13	NA
JU2750	10.5	0.7071067811865476
JU2752	10	NA
JU3170	9	NA
NIC1000	11.5	0.7071067811865476
NIC1004	11	NA
NIC1005	8	NA
NIC1012	8	NA
NIC1016	9	1.4142135623730951
NIC1028	7	NA
NIC1033	10	NA
NIC1038	10	2.8284271247461903
NIC105	12	NA
NIC1112	5	NA
NIC1116	11.333333333333334	4.041451884327381
NIC1121	10	1.4142135623730951
NIC1126	10	1.4142135623730951
NIC1136	9	NA
NIC1137	11	NA
NIC114	10	NA
NIC1140	11	NA
NIC1142	10	NA
NIC1144	8	NA
NIC1145	9	NA
NIC1146	10	NA
NIC1147	9	NA
NIC1149	10.5	0.7071067811865476
NIC1150	9	NA
NIC1151	8	NA
NIC1152	7	NA
NIC1153	9	NA
NIC1155	9	NA
NIC1156	8	NA
NIC1157	11	NA
NIC1160	9.5	1
NIC1161	10.5	0.7071067811865476
NIC1163	9.5	0.7071067811865476
NIC1164	11	NA
NIC1165	11	NA
NIC1167	7.5	0.7071067811865476
NIC1168	9	NA
NIC1169	10	NA
NIC1170	7.5	0.7071067811865476
NIC1175	11	2.8284271247461903
NIC1176	8	NA
NIC1177	7	NA
NIC1179	13	NA
NIC1180	9.75	2.217355782608345
NIC1181	12	NA
NIC1188	13.5	0.7071067811865476
NIC1192	11	NA
NIC1193	9	NA
NIC122	9	NA
NIC124	10.5	2.1213203435596424
NIC125	9	1.4142135623730951
NIC1252	10	NA
NIC1254	10	NA
