isotype	mean_length	celegans_rescale	rounded_val
AB1	188.384	12.607227660749393	13
BRC20067	114.4665	7.6604447566097456	8
BRC20263	131.029	8.76885740381525	9
CB4851	291.623	19.51629412323085	20
CB4852	175.569	11.749609060058765	12
CB4853	157.3365	10.529434956501065	11
CB4854	178.05	11.915645091920917	12
CB4855	776.782	51.984603346209	52
CB4856	262.276	17.55230402768127	18
CB4857	265.732	17.783590011605327	18
CB4858	803.276	53.757662043571266	54
CB4932	208.726	13.96857589135796	14
CX11254	293.954	19.67229170092963	20
CX11262	214.774	14.373326363225063	14
CX11264	826.012	55.279224002627224	55
CX11271	370.95	24.82509714601552	25
CX11276	238.98	15.993265173082056	16
CX11285	147.393	9.863985830011229	10
CX11292	679.344	45.463757367738964	45
CX11307	135.707	9.081923327656902	9
CX11314	471.197	31.533929909451608	32
CX11315	1026.54	68.69916491244311	69
DL200	133.738	8.950151886005726	9
DL226	145.521	9.738705922052363	10
DL238	1013.66	67.83719631494836	68
ECA1069	146.965	9.835342774131744	10
ECA1074	120.49571999999999	8.063938414015595	8
ECA1185	172.505	11.54455690301498	12
ECA1186	186.729	12.496470049813539	12
ECA1187	178.0595	11.916280860684596	12
ECA1191	171.385	11.469603111928478	11
ECA1192	173.38	11.603114552301308	12
ECA1193	164.512	11.009641142162838	11
ECA1194	186.798	12.501087738728689	13
ECA1195	173.851	11.634635298374294	12
ECA1196	180.221	12.060934985178765	12
ECA1200	201.591	13.491080088320297	13
ECA1202	164.8225	11.030420742281015	11
ECA1206	312.55475	20.917110209458404	21
ECA1208	195.1218	13.058141637162452	13
ECA1212	190.31	12.736121412207073	13
ECA1216	158.29625	10.593664332389698	11
ECA1223	171.1225	11.452035817142582	11
ECA1225	175.42025	11.739654259680089	12
ECA1228	168.672	11.288040937626985	11
ECA1229	159.6664	10.685358918869316	11
ECA1232	187.975	12.57985614239727	13
ECA1237	172.35583333333332	11.534574218041406	12
ECA1238	180.312	12.067024980704545	12
ECA1240	186.189	12.460331614825403	12
ECA1242	160.098	10.71424289764872	11
ECA1243	182.537	12.215928717461209	12
ECA1247	219.45374999999999	14.686509402365285	15
ECA1251	187.33999999999997	12.537360019772333	13
ECA1252	198.444	13.280473319972781	13
ECA1253	168.465	11.274187870881532	11
ECA1255	194.29966666666667	13.003121985276811	13
ECA1257	172.17433333333332	11.522427688503727	12
ECA1260	187.89350000000002	12.574401915635173	13
ECA1261	179.577	12.017836555304026	12
ECA1269	160.47333333333333	10.739361340733064	11
ECA1271	166.328	11.131173360567379	11
ECA1276	151.4965	10.13860447440717	10
ECA1278	159.498	10.674089080995238	11
ECA1281	222.0774	14.862092004136803	15
ECA1283	224.339	15.013445123709328	15
ECA1284	238.4555	15.958164045024139	16
ECA1286	173.817	11.632359915430596	12
ECA1287	192.076	12.854307479223822	13
ECA1288	196.58133333333333	13.155818026939638	13
ECA1289	185.315	12.40184088856683	12
ECA1293	171.2495	11.46053504166757	11
ECA1298	197.8032	13.237589043786864	13
ECA1316	267.679	17.913889146645875	18
ECA1409	128.062	8.570296780463782	9
ECA1413	173.36675	11.602227822183545	12
ECA1493	151.76825	10.15679080719981	10
ECA1693	400.873	26.827634905552443	27
ECA1713	212.158	14.198255722615878	14
ECA1717	223.561	14.961379008115314	15
ECA1725	146.093	9.776985893928682	10
ECA1751	354.1837777777778	23.70305079087776	24
ECA1757	188.10175	12.588338636165318	13
ECA1761	172.589	11.550178437346467	12
ECA1769	206.46694	13.817392756275934	14
ECA1793	161.101	10.781366694487792	11
ECA1805	366.372	24.51872352494945	25
ECA1807	240.125	16.069892039862452	16
ECA1815	273.4001666666667	18.29676694227479	18
ECA1821	247.11849999999998	16.537918234472667	17
ECA1825	269.51835	18.036984017748516	18
ECA1843	120.98268	8.096527251611562	8
ECA1851	396.8485	26.558303180349213	27
ECA1853	230.16716666666667	15.403483683308115	15
ECA1875	405.7506666666667	27.15406312726934	27
ECA1885	296.7605	19.86011117832629	20
ECA1887	242.7645	16.246535371623896	16
ECA1889	320.505	21.449165010873983	21
ECA189	306.902	20.538811064311776	21
ECA1891	173.925	11.639587602428223	12
ECA1901	333.012	22.286171319015825	22
ECA191	219.639	14.69890689325705	15
ECA1919	269.05008333333336	18.005646194618066	18
ECA1925	250.467	16.76200999291298	17
ECA1937	286.893	19.199748201945894	19
ECA1939	556.6153333333333	37.2503834019728	37
ECA1943	452.431	30.278052370586188	30
ECA1969	159.57	10.678907538993654	11
ECA1977	217.767	14.573626985298183	15
ECA1997	249.218	16.678423131245978	17
ECA2041	247.684	16.575763206668572	17
ECA2043	286.486	19.172510529649283	19
ECA2073	326.304	21.837251648829888	22
ECA2081	318.4958	21.31470326350702	21
ECA2091	196.058125	13.120803341125903	13
ECA2109	195.342	13.07287808787428	13
ECA2111	242.9436	16.25852128589496	16
ECA2119	177.173	11.856953596579075	12
ECA2151	214.3605	14.345653691248039	14
ECA2155	206.485	13.818601386157203	14
ECA2159	225.35725	15.081589496721675	15
ECA2183	141.182	9.448326904619929	9
ECA2187	168.7635	11.29416439466664	11
ECA2191	164.556	11.012585755384094	11
ECA2195	130.3128	8.720927131336545	9
ECA2199	226.066	15.129021192643604	15
ECA2251	510.723	34.17912950452752	34
ECA2281	207.4022	13.879983187214826	14
ECA2291	150.283	10.057393380225502	10
ECA2332	371.98975	24.894680364124614	25
ECA2334	433.29650000000004	28.997513695992758	29
ECA2336	174.94544444444443	11.707878834307033	12
ECA2344	350.5615	23.46063699461631	23
ECA2350	245.14466666666667	16.40582333152067	16
ECA2360	236.7962	15.847118665068932	16
ECA2367	112.947	7.558755215934802	8
ECA2377	179.55033333333333	12.016051941230538	12
ECA2417	218.95933333333335	14.653421542059021	15
ECA2437	201.139	13.460830879774674	13
ECA2443	169.97516666666667	11.375252796630756	11
ECA2452	170.454	11.407297773087828	11
ECA2467	235.934	15.789417630537876	16
ECA2473	209.34675	14.010118360837374	14
ECA2475	145.5639	9.741576919943087	10
ECA2481	222.352	14.880469067558547	15
ECA2482	292.0316666666667	19.543643333907056	20
ECA2489	365.4025	24.453841649540195	24
ECA2522	218.969	14.65406846466066	15
ECA2523	179.0895	11.985211579273072	12
ECA2527	208.89100000000002	13.979618190937668	14
ECA2529	271.147	18.145978206903006	18
ECA2533	227.389	15.217560358364533	15
