strain	tel_estimate.n
AB1	13
BRC20067	8
BRC20263	9
CB4851	20
CB4852	12
CB4853	11
CB4854	12
CB4855	52
CB4856	18
CB4857	18
CB4858	54
CB4932	14
CX11254	20
CX11262	14
CX11264	55
CX11271	25
CX11276	16
CX11285	10
CX11292	45
CX11307	9
CX11314	32
CX11315	69
DL200	9
DL226	10
DL238	68
ECA1069	10
ECA1074	8
ECA1185	12
ECA1186	12
ECA1187	12
ECA1191	11
ECA1192	12
ECA1193	11
ECA1194	13
ECA1195	12
ECA1196	12
ECA1200	13
ECA1202	11
ECA1206	21
ECA1208	13
ECA1212	13
ECA1216	11
ECA1223	11
ECA1225	12
ECA1228	11
ECA1229	11
ECA1232	13
ECA1237	12
ECA1238	12
ECA1240	12
ECA1242	11
ECA1243	12
ECA1247	15
ECA1251	13
ECA1252	13
ECA1253	11
ECA1255	13
ECA1257	12
ECA1260	13
ECA1261	12
ECA1269	11
ECA1271	11
ECA1276	10
ECA1278	11
ECA1281	15
ECA1283	15
ECA1284	16
ECA1286	12
ECA1287	13
ECA1288	13
ECA1289	12
ECA1293	11
ECA1298	13
ECA1316	18
ECA1409	9
ECA1413	12
ECA1493	10
ECA1693	27
ECA1713	14
ECA1717	15
ECA1725	10
ECA1751	24
ECA1757	13
ECA1761	12
ECA1769	14
ECA1793	11
ECA1805	25
ECA1807	16
ECA1815	18
ECA1821	17
ECA1825	18
ECA1843	8
ECA1851	27
ECA1853	15
ECA1875	27
ECA1885	20
ECA1887	16
ECA1889	21
ECA189	21
ECA1891	12
ECA1901	22
ECA191	15
ECA1919	18
ECA1925	17
ECA1937	19
ECA1939	37
ECA1943	30
ECA1969	11
ECA1977	15
ECA1997	17
ECA2041	17
ECA2043	19
ECA2073	22
ECA2081	21
ECA2091	13
ECA2109	13
ECA2111	16
ECA2119	12
ECA2151	14
ECA2155	14
ECA2159	15
ECA2183	9
ECA2187	11
ECA2191	11
ECA2195	9
ECA2199	15
ECA2251	34
ECA2281	14
ECA2291	10
ECA2332	25
ECA2334	29
ECA2336	12
ECA2344	23
ECA2350	16
ECA2360	16
ECA2367	8
ECA2377	12
ECA2417	15
ECA2437	13
ECA2443	11
ECA2452	11
ECA2467	16
ECA2473	14
ECA2475	10
ECA2481	15
ECA2482	20
ECA2489	24
