ReadGroup	Length_estimate
[BRC20400.bam]	174.265
[NIC550.bam]	174.815
[JU1634.bam]	193.903
[NIC938.bam]	131.494
[NIC536.bam]	153.968
[NIC1646.bam]	142.397
[NIC374.bam]	147.096
[QG3877.bam]	234.248
[QG3812.bam]	185.591
[NIC1137.bam]	180.398
[NIC749.bam]	204.237
[NIC588.bam]	199.997
[NIC114.bam]	163.136
[NIC575.bam]	166.529
[NIC382.bam]	180.62
[NIC1381.bam]	184.765
[NIC1337.bam]	161.659
[NIC441.bam]	175.344
[NIC1976.bam]	174.988
[QG3821.bam]	137.263
[NIC1930.bam]	227.971
[QG3872.bam]	162.091
[QG3526.bam]	242.701
[NIC1166.bam]	134.662
[QG850.bam]	165.386
[NIC1477.bam]	170.96
[QG3838.bam]	144.35
[NIC972.bam]	138.559
[NIC1556.bam]	116.353
[NIC1551.bam]	129.661
[JU1631.bam]	210.53
[NIC1354.bam]	173.978
[EG5889.bam]	136.982
[NIC748.bam]	168.44
[NIC591.bam]	182.078
[NIC469.bam]	421.252
[NIC1644.bam]	168.567
[QG2772.bam]	248.812
[NIC941.bam]	120.303
[NIC1940.bam]	202.703
[QG3514.bam]	162.45
[NIC122.bam]	153.203
[NIC945.bam]	152.248
[NIC1328.bam]	130.394
[NIC751.bam]	231.4
[NIC567.bam]	206.714
[JU1872.bam]	170.028
[QG2697.bam]	169.641
[QG3790.bam]	137.321
[JU1871.bam]	193.898
[NIC946.bam]	173.364
[NIC1116.bam]	149.816
[NIC99.bam]	157.824
[QG2898.bam]	163.818
[ECA1301.bam]	133.858
[NIC1393.bam]	175.665
[QG853.bam]	128.873
[NIC944.bam]	158.98
[JU1428.bam]	163.573
[NIC1170.bam]	116.581
[NIC905.bam]	149.852
[QG2899.bam]	158.169
[QG3802.bam]	110.443
[NIC1564.bam]	143.898
[NIC1270.bam]	165.387
[QG3868.bam]	142.771
[QG3845.bam]	171.475
[NIC1534.bam]	121.904
[NIC390.bam]	161.58
[QG3055.bam]	166.168
[NIC1419.bam]	151.759
[NIC1146.bam]	169.008
[QG1000.bam]	174.199
[NIC1467.bam]	129.484
[NIC926.bam]	161.616
[NIC1405.bam]	142.248
[NIC535.bam]	182.48
[NIC372.bam]	224.032
[NIC1585.bam]	133.323
[JU1851.bam]	168.303
[QG3854.bam]	124.743
[QG3539.bam]	122.85
[ECA800.bam]	107.039
[NIC1344.bam]	159.89
[NIC1178.bam]	137.541
[NIC1121.bam]	175.507
[QG2725.bam]	162.709
[NIC934.bam]	146.975
[QG3833.bam]	220.421
[QG3013.bam]	153.54
[NIC1174.bam]	153.641
[JU1849.bam]	218.123
[NIC1278.bam]	142.473
[NIC393.bam]	181.685
[NIC1543.bam]	125.899
[ECA803.bam]	98.5691
[QG3831.bam]	130.562
[QG3011.bam]	133.683
[NIC1293.bam]	137.59
[NIC965.bam]	143.12
[NIC895.bam]	103.106
[NIC1129.bam]	171.933
[NIC976.bam]	159.764
[QG942.bam]	148.853
[NIC975.bam]	200.876
[NIC1380.bam]	208.315
[NIC1371.bam]	165.173
[NIC1321.bam]	167.173
