ReadGroup	Library	Sample	Total	Mapped	Duplicates	LENGTH_ESTIMATE	TEL0	TEL1	TEL2	TEL3	TEL4	TEL5	TEL6	TEL7	TEL8	TEL9	TEL10	TEL11	TEL12	TEL13	TEL14	TEL15	TEL16	GC0	GC1	GC2	GC3	GC4	GC5	GC6	GC7	GC8	GC9	
UNKNOWN		UNKNOWN	50666	45741	1377	122.761	48994	1425	73	40	22	14	21	9	6	10	5	5	3	1	4	5	2	3380	2977	2440	1981	1638	1308	1186	902	618	386	
UNKNOWN		UNKNOWN	51710	47045	11561	753.645	49571	1421	88	55	49	44	50	52	53	40	54	30	33	18	8	9	16	3991	3530	2994	2320	1731	1273	919	720	599	414	
UNKNOWN		UNKNOWN	50028	49110	23	292.962	48629	1007	97	46	57	40	20	17	8	3	1	4	8	14	39	38	0	2211	4319	3769	3088	2372	887	1357	891	584	363	
UNKNOWN		UNKNOWN	100870	100156	1505	200.149	97845	2560	137	79	50	33	30	33	28	12	10	9	8	10	5	9	6	7482	6252	5031	3810	2816	1882	1350	874	535	345	
UNKNOWN		UNKNOWN	50036	49777	54	222.4	48626	1005	90	74	70	52	31	22	12	8	5	3	6	1	17	14	0	2382	4347	3760	2804	2058	804	1174	707	446	279	
UNKNOWN		UNKNOWN	51110	44981	17915	226.274	49183	1551	93	36	44	46	37	12	10	21	15	10	10	2	3	2	3	3733	3372	2865	2077	1687	1126	720	638	516	442	
UNKNOWN		UNKNOWN	100091	99071	14	289.131	97484	2136	129	69	40	35	17	23	11	9	6	2	2	6	13	26	83	7086	6092	4735	3807	2616	1912	1175	804	445	270	
UNKNOWN		UNKNOWN	50046	49585	18	312.716	48613	982	111	65	68	54	22	16	6	2	5	2	8	14	49	29	0	2208	4208	3642	2880	2200	830	1219	727	486	292	
UNKNOWN		UNKNOWN	50041	49741	8	111.992	48763	1095	65	17	29	20	11	8	5	2	1	1	1	3	0	0	20	3797	3314	2732	2049	1533	1115	700	427	295	213	
UNKNOWN		UNKNOWN	50039	49491	111	1745.77	47954	996	87	67	46	30	28	18	13	12	35	68	64	72	319	230	0	2429	4252	3432	2661	2589	854	1236	668	438	236	
UNKNOWN		UNKNOWN	50053	49578	46	367.614	48799	1011	44	28	22	19	19	10	11	9	3	17	14	9	13	20	5	3254	2743	2304	1707	1434	750	537	327	255	182	
UNKNOWN		UNKNOWN	50585	49916	1397	137.95	49019	1371	72	32	20	14	16	14	10	4	2	1	4	1	1	0	0	3582	2945	2272	1720	1198	742	525	334	186	138	
UNKNOWN		UNKNOWN	50006	49962	134	628.858	48554	977	76	46	37	32	21	8	9	7	4	20	31	29	88	67	0	2345	4098	3368	2824	2210	815	1042	641	408	263	
UNKNOWN		UNKNOWN	50731	50267	1534	175.047	48940	1489	104	51	36	24	20	11	10	10	6	3	2	1	3	4	3	3566	3032	2365	1794	1296	894	544	388	237	149	
